prompt_id,num_correct,pass_at_1,pass_at_32
gsm8k_validation_00098,243,0.474609375,0.9999999995522316
gsm8k_validation_00099,46,0.08984375,0.9555060248816954
gsm8k_validation_00100,238,0.46484375,0.9999999991627598
gsm8k_validation_00101,419,0.818359375,1.0
gsm8k_validation_00102,410,0.80078125,1.0
gsm8k_validation_00103,126,0.24609375,0.9999149072296166
gsm8k_validation_00104,11,0.021484375,0.5118770692880379
gsm8k_validation_00105,230,0.44921875,0.9999999977769524
gsm8k_validation_00106,2,0.00390625,0.12120841487279843
gsm8k_validation_00107,45,0.087890625,0.9522329048729926
gsm8k_validation_00108,377,0.736328125,1.0
gsm8k_validation_00109,85,0.166015625,0.9975491165577718
gsm8k_validation_00110,351,0.685546875,1.0
gsm8k_validation_00111,56,0.109375,0.9783128324860476
gsm8k_validation_00112,234,0.45703125,0.9999999986306354
gsm8k_validation_00113,31,0.060546875,0.8730353260184119
gsm8k_validation_00114,51,0.099609375,0.9688736290177501
gsm8k_validation_00115,371,0.724609375,1.0
gsm8k_validation_00116,382,0.74609375,1.0
gsm8k_validation_00117,323,0.630859375,0.9999999999999977
gsm8k_validation_00118,81,0.158203125,0.9966593745584406
gsm8k_validation_00119,35,0.068359375,0.903683672470903
gsm8k_validation_00120,56,0.109375,0.9783128324860476
gsm8k_validation_00121,18,0.03515625,0.693364985729912
gsm8k_validation_00122,133,0.259765625,0.9999537998741911
gsm8k_validation_00123,261,0.509765625,0.999999999957733
gsm8k_validation_00124,179,0.349609375,0.9999993933947429
gsm8k_validation_00125,213,0.416015625,0.9999999838821075
gsm8k_validation_00126,278,0.54296875,0.9999999999961717
gsm8k_validation_00127,123,0.240234375,0.9998898363319031
gsm8k_validation_00128,376,0.734375,1.0
gsm8k_validation_00129,142,0.27734375,0.9999792990282071
gsm8k_validation_00130,11,0.021484375,0.5118770692880379
gsm8k_validation_00131,373,0.728515625,1.0
gsm8k_validation_00132,379,0.740234375,1.0
gsm8k_validation_00133,160,0.3125,0.9999960981118656
gsm8k_validation_00134,317,0.619140625,0.999999999999993
gsm8k_validation_00135,86,0.16796875,0.9977327893215922
gsm8k_validation_00136,164,0.3203125,0.9999973395285273
gsm8k_validation_00137,15,0.029296875,0.625447168463267
gsm8k_validation_00138,158,0.30859375,0.9999952827175844
gsm8k_validation_00139,162,0.31640625,0.9999967762177807
gsm8k_validation_00140,274,0.53515625,0.999999999993152
gsm8k_validation_00141,3,0.005859375,0.1763482790376425
gsm8k_validation_00142,11,0.021484375,0.5118770692880379
gsm8k_validation_00143,313,0.611328125,0.9999999999999858
gsm8k_validation_00144,137,0.267578125,0.9999675835043224
gsm8k_validation_00145,116,0.2265625,0.999800362043307
gsm8k_validation_00146,120,0.234375,0.9998576734757635
gsm8k_validation_00147,219,0.427734375,0.999999991877251
gsm8k_validation_00148,269,0.525390625,0.9999999999860386
gsm8k_validation_00149,254,0.49609375,0.999999999891937
gsm8k_validation_00150,176,0.34375,0.9999991801893309
gsm8k_validation_00151,91,0.177734375,0.9984685921182329
gsm8k_validation_00152,190,0.37109375,0.9999998039115104
gsm8k_validation_00153,9,0.017578125,0.4432218966329915
gsm8k_validation_00154,1,0.001953125,0.0625
gsm8k_validation_00155,218,0.42578125,0.9999999908851596
gsm8k_validation_00156,62,0.12109375,0.9860195340124581
gsm8k_validation_00157,80,0.15625,0.9963921245231159
gsm8k_validation_00158,2,0.00390625,0.12120841487279843
gsm8k_validation_00159,28,0.0546875,0.84404656603567
gsm8k_validation_00160,47,0.091796875,0.9585614051473301
gsm8k_validation_00161,124,0.2421875,0.9998988986387902
gsm8k_validation_00162,399,0.779296875,1.0
gsm8k_validation_00163,142,0.27734375,0.9999792990282071
gsm8k_validation_00164,40,0.078125,0.9320406749044119
gsm8k_validation_00165,431,0.841796875,1.0
gsm8k_validation_00166,13,0.025390625,0.5722990885914971
gsm8k_validation_00167,38,0.07421875,0.9218322374843217
gsm8k_validation_00168,177,0.345703125,0.9999992582665375
gsm8k_validation_00169,27,0.052734375,0.8330299879189844
gsm8k_validation_00170,218,0.42578125,0.9999999908851596
gsm8k_validation_00171,180,0.3515625,0.9999994516871399
gsm8k_validation_00172,51,0.099609375,0.9688736290177501
gsm8k_validation_00173,48,0.09375,0.9614130933952558
gsm8k_validation_00174,113,0.220703125,0.9997432859864833
gsm8k_validation_00175,397,0.775390625,1.0
gsm8k_validation_00176,70,0.13671875,0.9922884996239903
gsm8k_validation_00177,10,0.01953125,0.4786431676225428
gsm8k_validation_00178,288,0.5625,0.9999999999991475
gsm8k_validation_00179,304,0.59375,0.9999999999999342
gsm8k_validation_00180,419,0.818359375,1.0
gsm8k_validation_00181,172,0.3359375,0.9999987803690841
gsm8k_validation_00182,174,0.33984375,0.9999989994497581
gsm8k_validation_00183,222,0.43359375,0.9999999942657953
gsm8k_validation_00184,5,0.009765625,0.2767516569932351
gsm8k_validation_00185,39,0.076171875,0.9271093860085869
gsm8k_validation_00186,218,0.42578125,0.9999999908851596
gsm8k_validation_00187,192,0.375,0.9999998410036928
gsm8k_validation_00188,106,0.20703125,0.9995418852560962
gsm8k_validation_00189,16,0.03125,0.6495632461477248
gsm8k_validation_00190,241,0.470703125,0.9999999994240144
gsm8k_validation_00191,150,0.29296875,0.9999900332339249
gsm8k_validation_00192,135,0.263671875,0.9999612815714923
gsm8k_validation_00193,239,0.466796875,0.9999999992605397
gsm8k_validation_00194,116,0.2265625,0.999800362043307
gsm8k_validation_00195,3,0.005859375,0.1763482790376425
gsm8k_validation_00196,307,0.599609375,0.9999999999999601
gsm8k_validation_00197,219,0.427734375,0.999999991877251
gsm8k_validation_00198,19,0.037109375,0.7132279826057071
gsm8k_validation_00199,156,0.3046875,0.9999943033085685
gsm8k_validation_00200,304,0.59375,0.9999999999999342
gsm8k_validation_00201,112,0.21875,0.9997209630287862
gsm8k_validation_00202,281,0.548828125,0.9999999999975423
gsm8k_validation_00203,281,0.548828125,0.9999999999975423
gsm8k_validation_00204,219,0.427734375,0.999999991877251
gsm8k_validation_00205,26,0.05078125,0.8212611764947719
gsm8k_validation_00206,29,0.056640625,0.8543575368762868
gsm8k_validation_00207,2,0.00390625,0.12120841487279843
gsm8k_validation_00208,11,0.021484375,0.5118770692880379
gsm8k_validation_00209,53,0.103515625,0.9730492538489443
gsm8k_validation_00210,9,0.017578125,0.4432218966329915
gsm8k_validation_00211,451,0.880859375,1.0
gsm8k_validation_00212,252,0.4921875,0.9999999998593987
gsm8k_validation_00213,305,0.595703125,0.9999999999999443
gsm8k_validation_00214,6,0.01171875,0.3224004675972123
gsm8k_validation_00215,71,0.138671875,0.9928467982937467
gsm8k_validation_00216,315,0.615234375,0.99999999999999
gsm8k_validation_00217,0,0.0,0.0
gsm8k_validation_00218,254,0.49609375,0.999999999891937
gsm8k_validation_00219,95,0.185546875,0.9988850669650301
gsm8k_validation_00220,241,0.470703125,0.9999999994240144
gsm8k_validation_00221,282,0.55078125,0.9999999999978828
gsm8k_validation_00222,321,0.626953125,0.9999999999999966
gsm8k_validation_00223,203,0.396484375,0.9999999510712403
gsm8k_validation_00224,307,0.599609375,0.9999999999999601
gsm8k_validation_00225,142,0.27734375,0.9999792990282071
gsm8k_validation_00226,273,0.533203125,0.9999999999920933
gsm8k_validation_00227,344,0.671875,1.0
